,CoalT,AnthraT,AnthraD,AnthraIm,BituT,BituCoke,BituSteam,PetroT,PetroENG,Gasoline,Kerosene,Diesel,BA,BB,BC,JA1,JP4,AVIG,LPG,Propane,Butane,PetroNENG,Naphta,Solvent,Asphalt,Lubricant,ParaWax,PetroCoke,OtherProd,LNG,TownGas,Hydro,Nuclear,Elect,Heat,Renewable,TotalE
Manu,19666,,,,19666,15063,4603,50992,5761,30,244,466,60,75,4886,,,,2556,1558,998,42675,40552,454,,543,21,98,1007,,5223,,,15220,,,91101
Food,31,,,,31,,31,559,458,,16,11,4,11,415,,,,20,20,,81,,,,,,,81,,412,,,673,,,1674
Textile,118,,,,118,,118,688,659,1,19,13,4,15,608,,,,4,4,,25,,2,,,,,23,,320,,,1033,,,2160
Wood,,,,,,,,35,33,,3,8,1,1,21,,,,1,1,,1,,1,,,,,,,39,,,134,,,209
PPP,,,,,,,,765,747,,9,8,1,6,723,,,,7,7,,11,,5,,,,,6,,129,,,843,,,1737
PetChem,115,,,,115,,115,44965,1544,1,15,77,2,7,1442,,,,1849,979,870,41572,40552,330,,,19,,670,,760,,,3145,,,48984
NonMetal,3132,,,,3132,,3132,987,794,1,5,85,6,11,686,,,,54,53,,139,,,,,,98,40,,470,,,955,,,5543
IS,15063,,,,15063,15063,,494,423,,2,3,,,418,,,,62,44,18,9,,,,,,,9,,1219,,,2824,,,19600
Nonferr,,,,,,,,121,94,,6,4,2,4,79,,,,20,19,,7,,1,,,,,7,,167,,,,,,288
FabMetal,,,,,,,,591,489,21,36,135,31,12,254,,,,71,64,7,31,,3,,,,,29,,1117,,,5417,,,7125
Other_Manu,1208,,,,1208,,1208,1015,438,5,134,117,10,10,163,,,,468,365,103,109,,71,,,,,38,,589,,,197,,,3009
Other_E,,,,,,,,772,81,,,4,,,77,,,,,,,691,,41,,543,2,,104,,,,,,,,772
Const,,,,,,,,2537,800,11,33,666,24,13,55,,,,17,17,,1721,,2,1714,,,,5,,,,,,,,2537
Transport,,,,,,,,36149,30973,7686,7,16423,167,40,3461,3189,,,5174,1,5173,1,,,,,,,1,,615,,,209,,96,37068
Rail_t,,,,,,,,231,231,,,231,,,,,,,,,,,,,,,,,,,,,,209,,,441
Land_t,,,,,,,,28485,23311,7686,5,15608,2,,9,,,,5173,,5173,,,,,,,,,,615,,,,,96,29195
Water_t,,,,,,,,4235,4235,,,579,165,39,3451,,,,,,,,,,,,,,,,,,,,,,4235
Air_t,,,,,,,,3197,3196,,1,5,1,1,,3189,,,,,,1,,,,,,,1,,,,,,,,3197
Residential,1014,1014,870,143,,,,4318,3236,2,2061,739,6,8,420,,,,1051,1000,51,31,,11,,,,,19,,9723,,,4659,1285,69,21067
Commercial,,,,,,,,2731,1355,11,788,139,12,30,375,1,,,1217,1122,95,159,,21,,,,21,117,,3108,,,8854,116,39,14849
Public,,,,,,,,1274,1213,44,75,562,9,2,74,447,,,32,32,,29,,2,,,,,27,,285,,,1960,37,588,4143
