"","io","TC","dairy","meat","pork","poultry","misslstock"
"243",243,"oinput",0.008497585,0.000833571,0.002787141,0,0
"244",244,"oinput",0.009502486,0.112446474,0,0.000553222,0
"245",245,"oinput",0.011053912,0.051213246,0.002364542,0.000778609,0
"246",246,"oinput",0,0.001604339,0.004195804,0,0
"247",247,"oinput",0,0,0,0,0
"248",248,"oinput",0,0,0,0,0
"249",249,"oinput",0,0,0,0,0
"250",250,"oinput",0,0,0,0,0
"251",251,"oinput",0,0,0,0,0
"252",252,"oinput",0,0,0,0,0
"253",253,"oinput",0,0,0,0,0
"254",254,"oinput",0,0,0,0,0
"255",255,"oinput",0.030693558,0.009083643,0.045016854,0.001782604,0.000306896
"256",256,"oinput",0,0,0,0,0
"257",257,"oinput",0,0,0,0,0
"258",258,"oinput",0,0,0,0,0
"259",259,"oinput",0,0,0,0,0
"260",260,"oinput",0,0,0,0,0
"261",261,"oinput",0,0,0,0,0
"262",262,"lmach",0.123148781,0.145687364,0.344951733,0.278487849,0.016714083
"263",263,"oinput",0,0,0,0,0
"264",264,"oinput",0,0,0,0,0
"265",265,"oinput",0,0,0,0,0
"266",266,"oinput",0,0,0,0,0
"267",267,"oinput",0,0,0,0,0
"268",268,"oinput",0,0,0,0,0
"269",269,"oinput",0.000511265,0.000713674,0.001458973,0.000430284,0
"270",270,"oinput",0,0.000205538,0.000362228,0,0
"271",271,"oinput",0.001745355,0.000913503,0.001006188,0.00069665,0
"272",272,"oinput",0.000775713,0.001792749,0.00037229,0,0
"273",273,"oserv",0,0,0,0,0
"274",274,"energy",0.022416444,0.016849105,0.012198606,0.020505214,0.002581927
"275",275,"energy",0.600064741,0.453506183,0.327905382,0.551306662,0.067130089
"276",276,"energy",0.129804969,0.098068517,0.07093475,0.119301078,0.01449851
"277",277,"energy",0,0,0,0,0
"278",278,"energy",0.012057943,0.009040983,0.006599246,0.010994285,0.001390268
"279",279,"energy",0.001699442,0.002092128,0.001742658,0.000785306,0.01489573
"280",280,"energy",0,0,0,0,0
"281",281,"water",1,1,1,1,1
"282",282,"oserv",0,0,0,0,0
"283",283,"oserv",0,0.000462685,0,0.000738796,0.001216887
"284",284,"oserv",0,0,0,0,0
"285",285,"oserv",0,0.004705022,0.00010644,0.002212748,0.002137352
"286",286,"oserv",0,0.001950038,0.004115679,0,0.006490062
"287",287,"oinput",0,0,0,0,0
"288",288,"oinput",0,0,0,0,0
"289",289,"facil",0.921999133,0.851360782,0.61497489,0.753546779,0.439524395
"290",290,"oinput",0,0,0,0,0
"291",291,"oinput",0,0,0,0,0
"292",292,"oinput",0,0,0,0,0
"293",293,"oinput",0,0,0,0,0
"294",294,"oinput",0,0,0,0,0
"295",295,"facil",0,0,0,0,0
"296",296,"oinput",0,0,0,0,0
"297",297,"oinput",0,0,0,0,0
"298",298,"oinput",0,0,0,0,0
"299",299,"oinput",0,0,0,0,0
"300",300,"oinput",0,0,0,0,0
"301",301,"oinput",0,0,0,0,0
"302",302,"oserv",0.375078528,0.481228503,0.522991034,0.545396812,0.317810228
"303",303,"oserv",0.075133281,0.082176268,0.065494289,0.118256442,0.076492246
"304",304,"oserv",0.000789603,0.002053562,0.00049672,8.73453e-05,0.002074948
"305",305,"oserv",0,0,0,0,0
"306",306,"oserv",0.001394772,0.004738826,0.005485207,0.000691484,0.006833287
"307",307,"oserv",0.022443157,0.024494849,0.016938148,0.030530823,0.058519767
"308",308,"oserv",0.005924901,0.003437392,0.002982093,0.000667828,0.03188867
"309",309,"oserv",0.038408115,0.003183866,0.003748461,0.002061713,0.009142251
"310",310,"oserv",0,0,0,0,0
"311",311,"oserv",0.000172906,0.000268315,0.001133586,2.72954e-05,0.001326094
"312",312,"oserv",0.003250627,0.004637415,0.007888976,0.01099641,0
"313",313,"oserv",0,0,0,0,0
"314",314,"oserv",0,0,2.1288e-05,0,0
"315",315,"oserv",0.000576352,0.000456347,0.000356574,0.000189248,0.001482106
"316",316,"oserv",0.013434771,0.01911587,0.020840947,0.011615106,0.019532591
"317",317,"oserv",0.01574018,0.010430487,0.018852293,0.027817659,0.03862835
