io,TC,rice,barley,bean,potato,vegi,fruit,flower,misscrop,nrice
225,oinput,0,0,0,0,0,0,0,0,0
226,oinput,0,0,0,0,0,0,0,0,0
227,oinput,0,0,0,0,0,0,0,0,0
228,oinput,0,0,0,0,0,0,0,0,0
229,oinput,0,0,0,0,0,0,0,0,0
230,oinput,0,0,0,0,0,0,0,0,0
231,oinput,0,0,0,0,0,0,0,0,0
232,oinput,0,0,0,0,0,0,0,0,0
233,oinput,0,0,0,0,0,0,0,0,0
234,oinput,0,0,0,0,0,0,0,0,0
235,oinput,0.003833585,0,0,0,0.001103283,0,0,0.008183481,0.012645422
236,oinput,0,0,0,0,0,0,0,0,0
237,oinput,0,0,0,0,0,0,0,0,0
238,oinput,0,0,0,0,0,0,0,0,0
239,oinput,0,0,0,0,0,0,0,0,0
240,oinput,0,0,0,0,0,0,0,0,0
241,oinput,9.87575E-05,0,0,0,6.31912E-05,0,0,0,0
242,oinput,0,0,0,0,0.000338158,0,0,0,0
243,oinput,0,0,0,0,0,0,0,0,0
244,oinput,0,0,0,0,0,0.000287892,0.038923701,0.006781743,0.001517451
245,oinput,0,0,0,0,0,0,0.027308007,0.005019558,0
246,oinput,0,0,0,0,0,0,0,0,0
247,oinput,0,0,0,0,0,0,0,0,0
248,oinput,0,0,0,0,0,0,0,0,0
249,oinput,0,0,0,0,0,0,0,0,0
250,oinput,0,0,0,0,0,0,0,0,0
251,oinput,0,0,0,0,0,0,0,0,0
252,oinput,0,0,0,0,0,0,0,0,0
253,oinput,0,0,0,0,0,0,0,0,0
254,oinput,0,0,0,0,0,0,0,0,0
255,oinput,0.001912303,0,0.12350511,0,0.003412322,0.024744555,0.001468651,0.007515986,0.009559939
256,oinput,0,0,0,0,0,0,0,0,0
257,oinput,0,0,0,0,0,0,0,0,0
258,oinput,0,0,0,0,0,0,0,0,0
259,oinput,0,0,0,0,0,0,0,0,0
260,oinput,0,0,0,0,0,0,0,0,0
261,oinput,0,0,0,0,0,0,0,0,0
262,lmach,0.176470588,0.213618158,0.233947237,0.124465189,0.293488119,0.252054335,0.112082262,0.059096459,0
263,oinput,0,0,0,0,0,0,0,0,0
264,oinput,0,0,0,0,0,0,0,0,0
265,oinput,0,0,0,0,0,0,0,0,0
266,oinput,0,0,0,0,0,0,0,0,0
267,oinput,0,0,0,0,0,0,0,0,0
268,oinput,0,0,0,0,0,0,0,0,0
269,oinput,0.000107735,0,0,0,5.12361E-05,8.96713E-05,0.000436145,5.33995E-05,0.000961052
270,oinput,0.000170581,0,0,0,4.78203E-05,0.000184062,0,0,0
271,oinput,0.001041442,0,0,0,0.00016054,0,0,0,0
272,oinput,0,0,0,0,0,0,0,0,0
273,oserv,0,0,0,0,0,0,0,0,0.408966258
274,energy,0.004168648,0.002717391,0.004341164,0.004215518,0.000903572,0.0060646,0.001467983,0.002587904,0.018236062
275,energy,0.112310665,0.069972826,0.114913177,0.112765117,0.024131118,0.163219485,0.039383899,0.066610408,0.493007645
276,energy,0.024303623,0.015172101,0.024897855,0.024502701,0.005224226,0.03528938,0.008520757,0.014345992,0.106209211
277,energy,0,0,0,0,0,0,0,0,0.000186463
278,energy,0.002225977,0.001585145,0.002298264,0.002371229,0.000480471,0.003270247,0.000787226,0.001293952,0.010068991
279,energy,0.000627321,0,0,0,0.000451786,0.000414882,0.009198287,0.019240506,0.066790975
280,energy,0,0,0,0,0,0,0,0,0
281,water,1,0,0,0,1,1,1,1,0
282,oserv,0,0,0,0,0,0,0,0,0
283,oserv,0,0,0,0,0,0,0,0,0.000203062
284,oserv,0,0,0,0,0,0,0,0,0
285,oserv,0,0,0,0,0,0,0.00061717,0.000208744,0.001184855
286,oserv,0,0,0,0,0,0,0.015842819,0,0
287,oinput,0,0,0,0,0,0,0,0,0
288,oinput,0,0,0,0,0,0,0,0,0
289,facil,0.942286874,0.903361345,0.814141414,0.868763557,0.982073643,0.973756754,0.990174488,0.370649751,0.399320084
290,oinput,0,0,0,0,0,0,0,0,0
291,oinput,0,0,0,0,0,0,0,0,0
292,oinput,0,0,0,0,0,0,0,0,0
293,oinput,0,0,0,0,0,0,0,0,0
294,oinput,0,0,0,0,0,0,0,0,0
295,facil,0,0,0,0,0,0,0,0,0
296,oinput,0,0,0,0,0,0,0,0,0
297,oinput,0,0,0,0,0,0,0,0,0
298,oinput,0,0,0,0,0,0,0,0,0
299,oinput,0,0,0,0,0,0,0,0,0
300,oinput,0,0,0,0,0,0,0,0,0
301,oinput,0,0,0,0,0,0,0,0,0
302,oserv,0.090778049,0.147045028,0.111159853,0.279899022,0.118598783,0.235541815,0.248967672,0.130436347,0.191516753
303,oserv,0.035932463,0.08190666,0.06527461,0.081356321,0.180397623,0.166498112,0.218319134,0.211026014,0.019170601
304,oserv,0,0,0,0,0,0,0,8.63769E-05,9.46307E-05
305,oserv,7.79869E-06,0,0,0,1.77121E-05,1.43961E-05,1.27252E-05,7.19808E-06,0
306,oserv,0,0,0,0,0.000291568,0.000273526,0.010962722,0.000122367,0.000297692
307,oserv,0.005501976,0.01336773,0.016757326,0.031268826,0.01300476,0.008497299,0.024794966,0.022645149,0.169550603
308,oserv,0.000934543,0.003635084,0.005088612,0.004417797,0.001347481,0.001104901,0.011503541,0.003858169,0.000159689
309,oserv,0.000619996,0.001876173,0.002544306,0.002409708,0.000636273,0.000377898,0.000763509,0.001072513,0.003954774
310,oserv,0,0,0,0,0,0,0,0,0
311,oserv,1.29978E-05,0,0,0.001692533,8.85604E-05,0.000179951,0.015772831,0.002001065,0.001088253
312,oserv,0,0,0,0,0.000238432,0.018214667,0.020926519,0.001540388,0.002099619
313,oserv,0,0,0,0,0,0,0,0,0
314,oserv,0,0,0,0,0,0,0.000286316,0,9.85736E-06
315,oserv,0.000518613,0.001700281,0.000350939,0.000631114,0.001200335,0.001507992,0.003747558,0.00168435,0.001669837
316,oserv,0.005625455,0.019817073,0.025750132,0.025387992,0.012365763,0.078757472,0.014913883,0.014417748,0.077898804
317,oserv,0.002231725,0.008208255,0.0107475,0.010556815,0.004768639,0.003660209,0.006114437,0.007234067,0.000205033
318,oserv,0.009485806,0.024038462,0.029654325,0.010958433,0.012980236,0.046395036,0.034364283,0.012690209,0.002127219
319,oserv,0.001145108,0.00293152,0.00364099,0.001004045,0.001568201,0.005603683,0.004154763,0.001518794,0.000264177
320,oserv,0.000345742,0.000879456,0.001096684,0.000458992,0.000472777,0.001691542,0.001247065,0.000439083,0.000102517
321,oserv,0.001050224,0.002696998,0.003290051,0.000803236,0.001431954,0.005121413,0.003792096,0.001331644,9.46307E-05
322,oserv,8.96849E-05,0,0,0,0.000156684,0.000557849,0.002055113,0.005995998,0
323,oserv,0.000731777,0.008325516,0.005483418,0.007114375,0.000746633,0.001248862,0.001380679,0.011502527,0.000124203
324,oserv,0.001740408,0.017706379,0.002982979,0.005909521,0.001866582,0.003095162,0.003442155,0.011106632,0.000220805
325,oserv,0.000219663,0,0.001447622,0.001262228,0.00022617,0.000457076,0.000744422,0.000727006,3.7458E-05
326,oserv,0.000220963,0.000234522,0.000570275,0.000372931,0.00030928,0.000316714,0.000241778,0.000431885,0.00033515
327,oserv,0,0,0,0,0,0,0,0,0
328,oserv,0.000272954,0.001172608,0.000614143,0.001118793,0.000572237,0.000752196,0.003919348,0.000928552,2.76006E-05
329,oserv,0,0,0,0,0,0,0,0,0
330,oserv,0.000301549,0,0,0.002467082,0.000568149,0.000233937,0.000636258,0.000115169,0
331,oserv,0,0,0,0,0,0,0,0,4.73153E-05
332,oserv,0,0,0,0,0,0,0.001565194,0,2.56291E-05
333,oserv,0,0,0,0,0,0,0,0,0
334,oserv,0,0,0,0,0,0,0,0,1.57718E-05
335,oserv,0.134427316,0.187734522,0.336111599,0.20399323,0.185490529,0.18969743,0.143838798,0.30321898,0.072609343
336,oserv,0,0,0,0,0,0,0,0,0
337,oserv,0.00107362,0.00152439,0.002675908,0.001635159,0.000846093,0.000727003,0.000311766,0.045369477,0.015091624
338,oserv,0,0,0,0,0,0,0,0,0
339,oserv,0.000807164,0.001172608,0.002017898,0.001204854,0.00085563,0.000550651,0.000241778,0.052416394,0.009494613
340,oserv,0.009627483,0.013484991,0.024083172,0.014601681,0.01323093,0.013521538,0.01024375,0.024207132,0.010535551
341,oserv,0,0,0,0,0,0,0,0,0
342,facil,0.057713126,0.096638655,0.185858586,0.131236443,0.017926357,0.026243246,0.009825512,0.629350249,0.600679916
343,oserv,0,0,0,0,0,0,0,0,0
344,oserv,0,0,0,0,0.000205733,0.002321371,0.000648983,8.63769E-05,1.57718E-05
345,lmach,0.060549572,0,0,0,0.016189008,0.017021633,0.006341045,0.057997558,0
346,oserv,0,0,0,0,0,0,0,0,0
347,oserv,0,0,0,0,0,0,0,0,0
348,oserv,0,0,0,0,0,0,0,0,0
349,oserv,5.979E-05,5.86304E-05,0.000175469,8.6061E-05,0.000144422,0,0.000165427,0.005002663,0.000406123
