TC,io,rice,barley,bean,potato,vegi,fruit,flower,misscrop,dairy,meat,pork,poultry,misslstock
oinput,52,0.001043915,0.001240941,0.002174386,0.000500823,0.000252765,0.000943908,0.000720974,0.000360447,0.000511265,0.000896375,0.001780953,0.000963016,0.000326077
oinput,53,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,54,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,55,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,56,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,57,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,58,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,59,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,60,0.002408523,0.003063816,0.005653403,0.001001646,0.000596046,0.002208745,0.00175348,0.000814343,0.00116357,0.002112475,0.004195804,0.002212888,0.000728877
oinput,61,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,62,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,63,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,64,0.000954581,0.000616599,0,0,0,0,0,0,0,0,0,0,0
oinput,65,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,66,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,67,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,68,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,69,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,70,0.223979779,0.135393453,0.202652751,0,0.056359677,0.018038087,0.005144729,0.186337725,0.00227425,0.005760776,0.027760728,0.042475156,0.018202743
oinput,71,0.005886125,0.022881686,0,0,0.005871654,0.00412016,0.001468651,0.010372862,0.002767885,0.002101056,0.001650148,0.00135232,0
oinput,72,0.000673575,0,0,0,0.081948679,0,0,0,0,0,0,0,0
oinput,73,0.004696505,0.001016425,0,0,0.001820588,0,0.000240325,0.035070154,0.001604316,0.000525264,0,0.001147423,0.013081423
oinput,74,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,75,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,76,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,77,0.012889772,0.069395275,0,0,0,0,0.00087229,0.007515986,0,0.000713674,0.006711274,0.007560701,0
oinput,78,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,79,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,80,0.002270943,0.002683889,0.005001087,0.001073192,0.000561889,0.002090757,0.00165557,0.000814343,0.00109305,0.001981159,0.003954319,0.00204897,0.0043349
oinput,81,0.004424161,0,0,0,0.000896631,0,0,0,0,0,0,0,0
oinput,82,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,83,0.00247998,0,0,0,0.000580675,0.007381363,0,0.014791675,0.017365396,0.000451042,0.018252251,0.007253355,0.005869378
oinput,84,0,0,0,0,0.000604586,0,0,0,0.003543599,0.000125607,0.004678774,0.003708636,0
oinput,85,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,86,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,87,0,0,0,0,0.008705008,0.011459046,0,0.036818989,0,0.000353982,0.00641948,0.001065465,0.248201784
oinput,89,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,90,0.000141696,9.15E-05,0,0,0,0,0.000178018,0,0.000440746,0.000256923,0.001026312,0.000573712,0
oinput,91,0.000343053,0.00022159,0,0,0,0.015772707,0.009960124,0,0,0.000137025,0,0,0
oinput,92,0.001573567,0.001016425,0,0.370179581,0.214714999,0.385614838,0.000382739,0.011440853,0,0,0,0.010961992,0.008688981
oinput,93,0.10121544,0.065378774,0,0,0.000548226,0.049196498,0,0,0,0,0,0.264665506,0.003107318
oinput,94,0.0006398,0.000264945,0.000652316,0.000143092,0.000145169,0.000250136,0.001317335,0.000133499,0.001375128,0.002072509,0.004286361,0.001167913,9.59E-05
oinput,95,0.002217756,0.003049364,0.005001087,0.001073192,0.000537979,0.002019964,0.001602165,0.000734244,0.00107542,0.001912646,0.003803391,0.001987501,0.000690515
oinput,96,0.003631883,0.002345967,0,0,0.000122967,0.008254478,0.000284829,0,0,9.14E-05,0,0.019834033,0
oinput,97,0.002920572,0.000269762,0,0,0.000754878,0.010864384,0.000382739,0.000173549,0.001198829,0.001981159,0.003914072,0.001823584,0
oinput,98,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,111,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,112,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,113,0,0,0,0,0,0,0,0,0.001322238,0.005047102,0,0,0
oinput,114,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,115,0,0,0,0,0,0,0,0,0,0.001164716,0,0,0
oinput,116,0,0,0,0,0,0,0,0,0,0.000924921,0.00064396,0,0
oinput,117,0,0,0,0,0,0,0,0,0.000810973,0.000216957,0.000342104,0.00067616,0
oinput,118,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,119,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,120,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,121,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,122,0,0,0,0,0,0,0,0,0.211223159,0.159520411,0.300306887,0.406884541,0.07712669
oinput,123,0,0,0,0,0,0,0,0,0.010983393,0.003888096,0,0,0
oinput,124,0,0,0,0,0,0,0,0,0.079898452,0.006788467,0.174603813,0.041839975,0.015958569
oinput,125,0,0,0,0,0,0,0.000445046,0,0.00562392,0.002180988,0.00080495,0.002827579,0.000863144
oinput,126,0,0,0,0,0,0,0,0,0,9.71E-05,0.000362228,0,0
oinput,127,0,0,0,0,0,0,0,0,0,0.000125607,0.002284047,0,0
oinput,128,0,0,0,0,0,0,0,0,0,0,0,0,0
oinput,129,0,0,0,0,0.000138337,0,0,0,0,0,0.000633898,0,0
oinput,130,0,0,0,0,0,0,0,0,0,9.71E-05,0.000342104,0,0
oinput,131,0,0,0,0,0,0,0.000142415,0,0.000493636,0.000725093,0.001458973,0,0
oinput,132,0.265812039,0.045512158,0.172428789,0.24619017,0.312796209,0.130924794,0.373882935,0.042933237,0.162018265,0.171481587,0.006640841,0.062473107,0.003490937
oinput,133,0.034857494,0.024194569,0.096542727,0.030049367,0.010148158,0.017882342,0.089569908,0.042359192,0,0.000742221,0.004054938,0.012273333,0.002800422
oinput,134,0.074560659,0.055128235,0.207436399,0.137583172,0.048921908,0.123637822,0.152935522,0.022988506,0,0.000599486,0.003129245,0.009568692,0.002205812
oinput,135,0,0,0,0,0.006816105,0,0.04543027,0,0,0,0,0,0
oinput,136,0.011547041,0.030088049,0.089367254,0.030836374,0.013468255,0.015111971,0.109703778,0.042799738,0.000881492,0.000964887,0.004608341,0.011925008,0.002877146
oinput,137,0.001660974,0,0,0,0,0,0,0,0.001463277,0.001575792,0.000332042,0.001249872,0.022595186
oinput,138,0.000918511,0,0,0,0,0.002128513,0,0,0,0.00263203,0.002072747,0,0
oinput,139,0.008713285,0.000120429,0,0,0.003263738,0.003832268,0,0,0.000828603,0.002363688,0.010655532,0.00344227,0
oinput,140,0,0,0,0,0,0,0,0,0,0,0,0,0
