,x,,,2010,,
X137,90.588 ,,137,89994,0,-1%
X138,116.990 ,,138,116447,0,0%
X139,31.363 ,,139,31291,0,0%
X140,167.983 ,,140,168985,0,1%
X141,922.906 ,,141,922340,0,0%
X142,329.982 ,,142,329773,0,0%
X143,122.862 ,,143,122787,0,0%
X144,117.858 ,,144,117839,0,0%
X145,42.579 ,,145,42569,0,0%
X146,251.738 ,,146,251729,0,0%
X147,206.920 ,,147,206907,0,0%
X148,9219.850 ,,148,9219385,0,0%
X149,572.423 ,,149,571570,0,0%
X150,336.449 ,,150,336253,0,0%
X151,1223.863 ,,151,1223687,0,0%
X152,33.078 ,,152,33053,0,0%
X153,22.892 ,,153,22871,0,0%
X154,1187.196 ,,154,1186365,0,0%
X155,52.139 ,,155,52120,0,0%
X156,82.864 ,,156,82796,0,0%
X157,72111.398 ,,157,72111376,0,0%
X158,1336.982 ,,158,1336970,0,0%
X159,1845.887 ,,159,1846020,0,0%
X160,106.179 ,,160,106070,0,0%
X161,82.164 ,,161,82137,0,0%
X162,47.868 ,,162,47867,0,0%
X163,251.408 ,,163,251546,0,0%
X164,159.074 ,,164,157434,0,-1%
X165,288.839 ,,165,288153,0,0%
X166,297.287 ,,166,297398,0,0%
X167,280.670 ,,167,280428,0,0%
X168,116.130 ,,168,115800,0,0%
X169,128.989 ,,169,128936,0,0%
X170,166.325 ,,170,167628,0,1%
X171,502.827 ,,171,502633,0,0%
X172,102.382 ,,172,102084,0,0%
X173,45.485 ,,173,45140,0,-1%
X174,223.270 ,,174,222527,0,0%
X175,290.236 ,,175,289751,0,0%
X176,326.582 ,,176,326017,0,0%
X177,338.933 ,,177,338845,0,0%
X178,232.970 ,,178,232843,0,0%
X179,155.459 ,,179,155008,0,0%
X180,57.449 ,,180,57384,0,0%
X181,69.583 ,,181,69483,0,0%
X182,190.949 ,,182,189987,0,-1%
X183,143.288 ,,183,143151,0,0%
X184,1003.908 ,,184,998349,0,-1%
X185,889.109 ,,185,889216,0,0%
X186,24.219 ,,186,24182,0,0%
X187,44.845 ,,187,44659,0,0%
X188,33.754 ,,188,33538,0,-1%
X189,132.620 ,,189,126877,0,-5%
X190,95.176 ,,190,95061,0,0%
X191,90.691 ,,191,90572,0,0%
X192,182.006 ,,192,182927,0,1%
X193,133.799 ,,193,131078,0,-2%
X194,117.318 ,,194,117091,0,0%
X195,76.005 ,,195,72070,0,-5%
X196,149.973 ,,196,149205,0,-1%
X197,152.260 ,,197,152150,0,0%
X198,53.309 ,,198,53031,0,-1%
X199,15.689 ,,199,15656,0,0%
X200,128.367 ,,200,127909,0,0%
X201,27.075 ,,201,26973,0,0%
X202,65.690 ,,202,65301,0,-1%
X203,94.690 ,,203,94207,0,-1%
X204,31.777 ,,204,31558,0,-1%
X205,78.967 ,,205,78804,0,0%
X206,96.491 ,,206,96345,0,0%
X207,35.972 ,,207,35934,0,0%
X208,18.789 ,,208,18640,0,-1%
X209,15.849 ,,209,15728,0,-1%
X210,16.172 ,,210,15959,0,-1%
X211,9.509 ,,211,9478,0,0%
X212,18.976 ,,212,18924,0,0%
X213,72.875 ,,213,72808,0,0%
X214,224.560 ,,214,224020,0,0%
X215,93.744 ,,215,93454,0,0%
X216,48.627 ,,216,48327,0,-1%
X217,128.186 ,,217,127392,0,-1%
X218,86.014 ,,218,85637,0,0%
X219,140.695 ,,219,140680,0,0%
X220,204.503 ,,220,204230,0,0%
X221,36.805 ,,221,36738,0,0%
X222,231.777 ,,222,231663,0,0%
X223,155.716 ,,223,155910,0,0%
X224,76.832 ,,224,76445,0,-1%
X225,397.392 ,,225,396898,0,0%
X226,1369.715 ,,226,1368609,0,0%
X227,81.260 ,,227,81151,0,0%
X228,186.932 ,,228,186467,0,0%
X229,45.972 ,,229,45849,0,0%
X230,40.007 ,,230,39926,0,0%
X231,16.076 ,,231,16069,0,0%
X232,19.683 ,,232,19636,0,0%
X233,45.391 ,,233,45344,0,0%
X234,36.592 ,,234,36526,0,0%
X235,294.657 ,,235,294255,0,0%
X236,93.012 ,,236,92890,0,0%
X237,109.675 ,,237,109619,0,0%
X238,35.587 ,,238,35561,0,0%
X239,27.199 ,,239,27098,0,0%
X240,65.432 ,,240,65300,0,0%
X241,33.967 ,,241,33908,0,0%
X242,123.962 ,,242,123797,0,0%
X243,38.788 ,,243,38751,0,0%
X244,55.294 ,,244,55225,0,0%
X245,30.717 ,,245,30674,0,0%
X246,42.156 ,,246,42094,0,0%
X247,29.360 ,,247,29273,0,0%
X248,2.215 ,,248,2214,0,0%
X249,670.534 ,,249,665187,0,-1%
X250,60.198 ,,250,60158,0,0%
X251,81.486 ,,251,81397,0,0%
X252,30.009 ,,252,29976,0,0%
X253,3.826 ,,253,3818,0,0%
X254,85.444 ,,254,84413,0,-1%
X255,697.955 ,,255,688843,0,-1%
X256,279.912 ,,256,278857,0,0%
X257,120.768 ,,257,120480,0,0%
X258,170.771 ,,258,170345,0,0%
X259,28.343 ,,259,28189,0,-1%
X260,279.066 ,,260,279019,0,0%
X261,10.675 ,,261,10652,0,0%
X262,11.309 ,,262,11272,0,0%
X263,55.643 ,,263,55602,0,0%
X264,17.510 ,,264,17477,0,0%
X265,81.563 ,,265,81444,0,0%
X266,5.761 ,,266,5756,0,0%
X267,17.827 ,,267,17802,0,0%
X268,3.679 ,,268,3678,0,0%
X269,5.806 ,,269,5800,0,0%
X270,14.751 ,,270,14717,0,0%
X271,65.154 ,,271,65109,0,0%
X272,56.555 ,,272,56540,0,0%
X273,1533.522 ,,273,1533544,0,0%
X274,34.658 ,,274,34642,0,0%
X275,230950.205 ,,275,230949795,0,0%
X276,200.660 ,,276,200575,0,0%
X277,11575.636 ,,277,11575635,0,0%
X278,18.140 ,,278,18131,0,0%
X279,799.991 ,,279,799977,0,0%
X280,10800.797 ,,280,10800752,0,0%
X281,98.700 ,,281,98685,0,0%
X282,128.971 ,,282,128911,0,0%
X283,232.366 ,,283,232292,0,0%
X284,4.747 ,,284,4746,0,0%
X285,589.077 ,,285,588976,0,0%
X286,162.159 ,,286,162137,0,0%
X287,805.563 ,,287,804947,0,0%
X288,1270.703 ,,288,1268624,0,0%
X289,136.984 ,,289,136910,0,0%
X290,1479.108 ,,290,1475201,0,0%
X291,269.622 ,,291,269175,0,0%
X292,275.677 ,,292,275470,0,0%
X293,781.685 ,,293,781252,0,0%
X294,338.610 ,,294,338434,0,0%
X295,261.470 ,,295,261357,0,0%
X296,1150.972 ,,296,1149030,0,0%
X297,19.419 ,,297,19384,0,0%
X298,140.703 ,,298,140673,0,0%
X299,103.766 ,,299,103531,0,0%
X300,223.080 ,,300,223010,0,0%
X301,320.010 ,,301,319941,0,0%
X302,6110.402 ,,302,6108741,0,0%
X303,3453.983 ,,303,3452241,0,0%
X304,407.037 ,,304,406740,0,0%
X305,34.092 ,,305,34072,0,0%
X306,9397.901 ,,306,9384822,0,0%
X307,11662.186 ,,307,11633016,0,0%
X308,1559.533 ,,308,1559465,0,0%
X309,1132.771 ,,309,1132003,0,0%
X310,8329.927 ,,310,8329656,0,0%
X311,7582.189 ,,311,7581645,0,0%
X312,388.434 ,,312,388263,0,0%
X313,190.388 ,,313,190224,0,0%
X314,178.047 ,,314,178044,0,0%
X315,434.642 ,,315,434558,0,0%
X316,470.344 ,,316,470329,0,0%
X317,287.645 ,,317,287542,0,0%
X318,6429.320 ,,318,6428995,0,0%
X319,321.906 ,,319,321875,0,0%
X320,1022.050 ,,320,1021942,0,0%
X321,833.934 ,,321,833816,0,0%
X322,112.624 ,,322,112578,0,0%
X323,112.248 ,,323,112163,0,0%
X324,256.865 ,,324,256571,0,0%
X325,122.131 ,,325,122005,0,0%
X326,38.629 ,,326,38568,0,0%
X327,30.198 ,,327,30059,0,0%
X328,141.880 ,,328,141854,0,0%
X329,163.614 ,,329,163456,0,0%
X330,215.837 ,,330,215765,0,0%
X331,64.044 ,,331,64028,0,0%
X332,100.212 ,,332,100193,0,0%
X333,103.822 ,,333,103805,0,0%
X334,141.813 ,,334,141792,0,0%
X335,307.016 ,,335,306864,0,0%
X336,45.692 ,,336,45685,0,0%
X337,199.483 ,,337,199185,0,0%
X338,242.412 ,,338,242409,0,0%
X339,147.213 ,,339,147180,0,0%
X340,86.426 ,,340,86412,0,0%
X341,37.630 ,,341,37630,0,0%
X342,1221.137 ,,342,1221039,0,0%
X343,292.010 ,,343,291990,0,0%
X344,457.119 ,,344,456925,0,0%
X345,474.390 ,,345,474163,0,0%
X346,266.769 ,,346,266689,0,0%
X347,48.879 ,,347,48872,0,0%
X348,10.232 ,,348,10221,0,0%
X349,470.018 ,,349,469515,0,0%
X350,193.902 ,,350,193872,0,0%
X351,372.641 ,,351,372574,0,0%
X352,60.559 ,,352,60540,0,0%
X353,504.951 ,,353,504870,0,0%
X354,166.793 ,,354,165589,0,-1%
X355,160.381 ,,355,160297,0,0%
X356,539.103 ,,356,539041,0,0%
X357,251.091 ,,357,250998,0,0%
X358,168.679 ,,358,168668,0,0%
X359,655.396 ,,359,655261,0,0%
X360,1527.538 ,,360,1527880,0,0%
X361,212.660 ,,361,212670,0,0%
X362,2796.036 ,,362,2795911,0,0%
X363,1014.673 ,,363,1014637,0,0%
X364,1839.535 ,,364,1838987,0,0%
X365,85.824 ,,365,85780,0,0%
X366,706.316 ,,366,706210,0,0%
X367,1171.482 ,,367,1171385,0,0%
X368,89.954 ,,368,89948,0,0%
X369,132.843 ,,369,132839,0,0%
X370,2372.518 ,,370,2372191,0,0%
X371,183.171 ,,371,183150,0,0%
X372,107.454 ,,372,107445,0,0%
X373,59.321 ,,373,59316,0,0%
X374,2074.416 ,,374,2074308,0,0%
X375,474.574 ,,375,474565,0,0%
X376,104.142 ,,376,104136,0,0%
X377,528.734 ,,377,528705,0,0%
X378,255.449 ,,378,238416,0,-7%
X379,117.388 ,,379,117365,0,0%
X380,97.564 ,,380,97976,0,0%
X381,416.015 ,,381,415999,0,0%
X382,68.753 ,,382,68727,0,0%
X383,0.000 ,,383,,0,#DIV/0!
