"","demand","sum.value.","share","dist","basecode","base_rowname"
"127","X235",294254.61,0.00196331150762987,0.897752900119941,235,"이동전화기"
"203","X73",291090.92,0.00194220288682161,0.899695103006762,73,"봉제의류"
"67","X175",289750.97,0.00193326253664443,0.901628365543407,175,"알루미늄 1차제품"
"57","X165",288152.66,0.00192259836925633,0.903550963912663,165,"철강관"
"59","X167",280427.89,0.00187105752904726,0.90542202144171,167,"표면처리강재"
"152","X260",279019.47,0.00186166033661729,0.907283681778328,260,"항공기"
"148","X256",278856.91,0.00186057571157546,0.909144257489903,256,"강철제 선박"
"38","X146",251728.97,0.00167957397032731,0.91082383146023,146,"내화 요업제품"
"55","X163",251545.9,0.00167835249944636,0.912502183959677,163,"열연 후판 및 강판"
"28","X136",240872.67,0.00160713908572081,0.914109323045398,136,"기타 플라스틱제품"
"70","X178",232842.51,0.00155356063698857,0.915662883682386,178,"건축용 금속제품"
"24","X132",231711.71,0.00154601576741855,0.917208899449805,132,"플라스틱 1차제품"
"114","X222",231663.24,0.00154569236820732,0.918754591818012,222,"조명장치"
"106","X214",224020.46,0.00149469857774714,0.920249290395759,214,"발전기 및 전동기"
"66","X174",222527.37,0.0014847364542007,0.92173402684996,174,"동 1차제품"
"39","X147",206907.36,0.00138051737201778,0.923114544221978,147,"건설용 비내화 요업제품"
"15","X123",206605.12,0.00137850078077367,0.924493045002751,123,"비료 및 질소화합물"
"112","X220",204230.1,0.00136265428614491,0.925855699288896,220,"전선 및 케이블"
"26","X134",192478.65,0.00128424682460561,0.927139946113502,134,"포장용 플라스틱제품"
"74","X182",189987.21,0.00126762355803192,0.928407569671534,182,"금속 단조 및 야금제품"
"120","X228",186466.98,0.00124413604812169,0.929651705719656,228,"인쇄회로기판 및 실장기판"
"84","X192",182926.63,0.00122051429451166,0.930872220014167,192,"내연기관 및 터빈"
"150","X258",170345.48,0.00113657094839308,0.93200879096256,258,"선박 수리 및 부분품"
"221","X91",169985.85,0.00113417144234119,0.933142962404901,91,"기타 원지 및 판지"
"32","X140",168985.02,0.00112749375237678,0.934270456157278,140,"판유리 및 1차유리"
"62","X170",167627.58,0.00111843670625975,0.935388892863538,170,"알루미늄 제련, 정련 및 합금제품"
"177","X47",159127.69,0.00106172414753182,0.93645061701107,47,"떡, 빵 및 과자류"
"56","X164",157433.55,0.00105042058781007,0.93750103759888,164,"강선"
"115","X223",155910.36,0.00104025763248609,0.938541295231366,223,"기타 전기장비"
"71","X179",155008.42,0.00103423975164068,0.939575534983007,179,"구조물용 금속제품"
"89","X197",152149.74,0.00101516620393779,0.940590701186944,197,"공기조절 장치 및 냉장 냉동 장비"
"88","X196",149205.19,0.000995519718535937,0.94158622090548,196,"산업용 운반기계"
"227","X97",148336.2,0.000989721685101507,0.942575942590582,97,"인쇄"
"199","X69",143978.25,0.000960644779952338,0.943536587370534,69,"섬유표백 및 염색"
"75","X183",143151.01,0.000955125308867172,0.944491712679401,183,"금속압형제품"
"111","X219",140680.42,0.000938641156664305,0.945430353836066,219,"전지"
"220","X90",134333.36,0.000896292607094879,0.946326646443161,90,"인쇄용지"
"185","X55",133947.42,0.00089371755672182,0.947220363999882,55,"사료"
"85","X193",131078.13,0.000874573217485377,0.948094937217368,193,"펌프 및 압축기"
"61","X169",128935.83,0.00086027946608826,0.948955216683456,169,"동 제련, 정련 및 합금제품"
"92","X200",127908.85,0.000853427299346996,0.949808643982803,200,"기타 일반목적용기계"
"109","X217",127392.17,0.000849979931811234,0.950658623914614,217,"전기회로 개폐 및 접속장치"
"81","X189",126876.81,0.000846541371516216,0.95150516528613,189,"나사 및 철선 제품"
"134","X242",123796.61,0.00082598980868496,0.952331155094815,242,"기타 가정용 전기기기"
"35","X143",122786.64,0.000819251135250546,0.953150406230066,143,"기타 유리제품"
"149","X257",120480.45,0.000803863884849334,0.953954270114915,257,"기타 선박"
"36","X144",117839.3,0.00078624173038801,0.954740511845303,144,"가정용 도자기"
"86","X194",117091.05,0.000781249292595501,0.955521761137899,194,"밸브"
"198","X68",116930.28,0.00078017661070589,0.956301937748605,68,"편조원단"
"196","X66",116454.28,0.000777000666316669,0.957078938414921,66,"화학섬유직물"
"30","X138",116447.2,0.000776953427479955,0.957855891842401,138,"산업용 고무제품"
"60","X168",115799.62,0.000772632675237158,0.958628524517639,168,"기타 철강1차제품"
"21","X129",114607.5,0.000764678669301701,0.95939320318694,129,"접착제 및 젤라틴"
"202","X72",110291.24,0.000735879926172672,0.960129083113113,72,"기타 섬유제품"
"129","X237",109618.57,0.000731391769634233,0.960860474882747,237,"TV"
"52","X160",106069.59,0.000707712435351761,0.961568187318099,160,"철근 및 봉강"
"25","X133",105863.24,0.000706335636770426,0.962274522954869,133,"건축용 플라스틱제품"
"190","X60",104221.48,0.000695381564374529,0.962969904519244,60,"비알콜음료 및 얼음"
"64","X172",102083.83,0.000681118838484576,0.963651023357728,172,"금은괴"
"180","X50",98941.07,0.000660149865819309,0.964311173223548,50,"유지"
"98","X206",96344.89,0.000642827758036941,0.964954000981585,206,"반도체 제조용 기계"
"82","X190",95061.28,0.000634263316907849,0.965588264298493,190,"금속포장용기"
"95","X203",94206.57,0.000628560561805096,0.966216824860298,203,"금속 절삭기계"
"107","X215",93453.76,0.00062353769899911,0.966840362559297,215,"변압기"
"128","X236",92890.1,0.000619776873758715,0.967460139433055,236,"기타 무선통신장비 및 방송장비"
"83","X191",90572.18,0.000604311359013626,0.968064450792069,191,"기타 금속제품"
"29","X137",89993.51,0.000600450384770537,0.96866490117684,137,"타이어 및 튜브"
"184","X54",86040.06,0.000574072365136998,0.969238973541977,54,"기타 식료품"
"19","X127",85909.48,0.000573201115518627,0.969812174657495,127,"비누, 세제 및 치약"
"110","X218",85636.7,0.000571381085874737,0.97038355574337,218,"배전반 및 전기자동제어반"
"204","X74",84652.67,0.000564815488065231,0.970948371231435,74,"편조의류"
"146","X254",84412.58,0.000563213571072778,0.971511584802508,254,"자동차용 엔진"
"48","X156",82796.1,0.000552428170681417,0.972064012973189,156,"기타 비금속광물제품"
"53","X161",82136.61,0.000548027953107369,0.972612040926297,161,"형강"
"157","X265",81444.44,0.000543409689603405,0.9731554506159,265,"기타 가구"
"143","X251",81397.01,0.000543093229430336,0.97369854384533,251,"트럭"
"119","X227",81150.51,0.000541448543943061,0.974239992389274,227,"기타 전자표시장치"
"222","X92",79581.28,0.000530978402737395,0.974770970792011,92,"골판지 및 골판지상자"
"97","X205",78803.71,0.000525790337445954,0.975296761129457,205,"금형 및 주형"
"116","X224",76444.79,0.000510051264465658,0.975806812393923,224,"개별소자"
"10","X118",73160.97,0.000488141118028241,0.976294953511951,118,"염료, 안료 및 유연제"
"105","X213",72807.64,0.000485783646534453,0.976780737158485,213,"기타 특수목적용기계"
"13","X121",72645.25,0.000484700155758474,0.977265437314244,121,"화학섬유"
"87","X195",72069.56,0.000480859064528579,0.977746296378772,195,"베어링, 기어 및 동력전달장치"
"170","X39",69758.97,0.000465442456658223,0.978211738835431,39,"낙농품"
"73","X181",69482.88,0.000463600342190954,0.978675339177622,181,"산업용 보일러 및 증기발생기"
"94","X202",65300.79,0.000435696801706257,0.979111035979328,202,"건설 및 광산용 기계"
"132","X240",65300.18,0.000435692731693489,0.979546728711021,240,"가정용 냉장고 및 냉동고"
"163","X271",65108.59,0.000434414414076828,0.979981143125098,271,"모형 및 장식용품"
"20","X128",63769.9,0.000425482470811269,0.980406625595909,128,"화장품"
"172","X41",60421.29,0.000403140035640705,0.98080976563155,41,"수산동물 저장품"
"142","X250",60158.2,0.000401384659150453,0.9812111502907,250,"버스"
