basecode_row,sector_row,basecode_column,sector_row,sector_ind,sector_name,Va_index,Va_name,Va_dict,FD_index,FD_name,FD_dict
277,Electri,277,Electri,,,,,,,,
278,Electri,278,Electri,,,,,,,,
279,GasWat,279,GasWat,,,,,,,,
280,GasWat,280,GasWat,,,,,,,,
281,GasWat,281,GasWat,,,,,,,,
282,PubSer,282,PubSer,,,,,,,,
283,PubSer,283,PubSer,,,,,,,,
284,PubSer,284,PubSer,,,,,,,,
285,PubSer,285,PubSer,,,,,,,,
286,PubSer,286,PubSer,,,,,,,,
287,Const,287,Const,,,,,,,,
288,Const,288,Const,,,,,,,,
289,Const,289,Const,,,,,,,,
290,Const,290,Const,,,,,,,,
291,Const,291,Const,,,,,,,,
292,Const,292,Const,,,,,,,,
293,Const,293,Const,,,,,,,,
294,Const,294,Const,,,,,,,,
295,Const,295,Const,,,,,,,,
296,Const,296,Const,,,,,,,,
297,Const,297,Const,,,,,,,,
298,Const,298,Const,,,,,,,,
299,Const,299,Const,,,,,,,,
300,Const,300,Const,,,,,,,,
301,Const,301,Const,,,,,,,,
302,TradSer,302,TradSer,,,,,,,,
303,TradSer,303,TradSer,,,,,,,,
304,Transp,304,TradSer,,,,,,,,
305,Transp,305,Transp,,,,,,,,
306,Transp,306,Transp,,,,,,,,
307,Transp,307,Transp,,,,,,,,
308,Transp,308,Transp,,,,,,,,
309,Transp,309,Transp,,,,,,,,
310,Transp,310,Transp,,,,,,,,
311,Transp,311,Transp,,,,,,,,
312,Transp,312,Transp,,,,,,,,
313,Transp,313,Transp,,,,,,,,
314,Transp,314,Transp,,,,,,,,
315,Transp,315,Transp,,,,,,,,
316,Transp,316,Transp,,,,,,,,
317,Transp,317,Transp,,,,,,,,
318,TradSer,318,TradSer,,,,,,,,
319,TradSer,319,TradSer,,,,,,,,
320,TradSer,320,TradSer,,,,,,,,
321,TradSer,321,TradSer,,,,,,,,
322,TradSer,322,TradSer,,,,,,,,
323,TradSer,323,TradSer,,,,,,,,
324,BusiSer,324,BusiSer,,,,,,,,
325,BusiSer,325,BusiSer,,,,,,,,
326,TradSer,326,TradSer,,,,,,,,
327,BusiSer,327,BusiSer,,,,,,,,
328,BusiSer,328,BusiSer,,,,,,,,
329,BusiSer,329,BusiSer,,,,,,,,
330,BusiSer,330,BusiSer,,,,,,,,
331,BusiSer,331,BusiSer,,,,,,,,
332,BusiSer,332,BusiSer,,,,,,,,
333,BusiSer,333,BusiSer,,,,,,,,
334,BusiSer,334,BusiSer,,,,,,,,
335,BusiSer,335,BusiSer,,,,,,,,
336,BusiSer,336,BusiSer,,,,,,,,
337,BusiSer,337,BusiSer,,,,,,,,
338,BusiSer,338,BusiSer,,,,,,,,
339,BusiSer,339,BusiSer,,,,,,,,
340,BusiSer,340,BusiSer,,,,,,,,
341,BusiSer,341,BusiSer,,,,,,,,
342,BusiSer,342,BusiSer,,,,,,,,
343,BusiSer,343,BusiSer,,,,,,,,
344,BusiSer,344,BusiSer,,,,,,,,
345,BusiSer,345,BusiSer,,,,,,,,
346,PubSer,346,PubSer,,,,,,,,
347,PubSer,347,PubSer,,,,,,,,
348,PubSer,348,PubSer,,,,,,,,
