,basecode,basename,s_code,s_name,m_code,m_name,b_code,b_name
117,117,기초무기화합물,39,기초무기화학물질,17,기초화학물질,7,화학제품
118,118,"염료, 안료 및 유연제",39,기초무기화학물질,17,기초화학물질,7,화학제품
119,119,합성수지,40,합성수지 및 합성고무,18,합성수지 및 합성고무,7,화학제품
120,120,합성고무,40,합성수지 및 합성고무,18,합성수지 및 합성고무,7,화학제품
121,121,화학섬유,41,화학섬유,19,화학섬유,7,화학제품
122,122,의약품,42,의약품,20,의약품,7,화학제품
123,123,비료 및 질소화합물,43,비료 및 농약,21,비료 및 농약,7,화학제품
124,124,살충제 및 농약,43,비료 및 농약,21,비료 및 농약,7,화학제품
125,125,도료,44,도료 및 잉크,22,기타 화학제품,7,화학제품
126,126,잉크,44,도료 및 잉크,22,기타 화학제품,7,화학제품
127,127,"비누, 세제 및 치약",45,비누 및 화장품,22,기타 화학제품,7,화학제품
128,128,화장품,45,비누 및 화장품,22,기타 화학제품,7,화학제품
129,129,접착제 및 젤라틴,46,기타 화학제품,22,기타 화학제품,7,화학제품
130,130,사진용 화학제품 및 감광재료,46,기타 화학제품,22,기타 화학제품,7,화학제품
131,131,기타 화학제품,46,기타 화학제품,22,기타 화학제품,7,화학제품
132,132,플라스틱 1차제품,47,플라스틱 1차제품,23,플라스틱제품,7,화학제품
133,133,건축용 플라스틱제품,48,기타 플라스틱제품,23,플라스틱제품,7,화학제품
134,134,포장용 플라스틱제품,48,기타 플라스틱제품,23,플라스틱제품,7,화학제품
135,135,조립용 플라스틱제품,48,기타 플라스틱제품,23,플라스틱제품,7,화학제품
136,136,기타 플라스틱제품,48,기타 플라스틱제품,23,플라스틱제품,7,화학제품
137,137,타이어 및 튜브,49,타이어 및 튜브,24,고무제품,7,화학제품
138,138,산업용 고무제품,50,기타 고무제품,24,고무제품,7,화학제품
139,139,기타 고무제품,50,기타 고무제품,24,고무제품,7,화학제품
140,140,판유리 및 1차유리,51,유리 및 유리제품,25,유리 및 유리제품,8,비금속광물제품
141,141,전자기기용 유리제품,51,유리 및 유리제품,25,유리 및 유리제품,8,비금속광물제품
142,142,산업용(전자기기 제외) 유리제품,51,유리 및 유리제품,25,유리 및 유리제품,8,비금속광물제품
143,143,기타 유리제품,51,유리 및 유리제품,25,유리 및 유리제품,8,비금속광물제품
144,144,가정용 도자기,52,도자기 및 요업제품,26,기타 비금속광물제품,8,비금속광물제품
145,145,산업용 도자기,52,도자기 및 요업제품,26,기타 비금속광물제품,8,비금속광물제품
146,146,내화 요업제품,52,도자기 및 요업제품,26,기타 비금속광물제품,8,비금속광물제품
147,147,건설용 비내화 요업제품,52,도자기 및 요업제품,26,기타 비금속광물제품,8,비금속광물제품
148,148,시멘트,53,시멘트,26,기타 비금속광물제품,8,비금속광물제품
149,149,레미콘,54,콘크리트제품,26,기타 비금속광물제품,8,비금속광물제품
150,150,콘크리트제품,54,콘크리트제품,26,기타 비금속광물제품,8,비금속광물제품
151,151,석회 및 석고제품,55,기타 비금속광물제품,26,기타 비금속광물제품,8,비금속광물제품
152,152,석제품,55,기타 비금속광물제품,26,기타 비금속광물제품,8,비금속광물제품
153,153,연마재,55,기타 비금속광물제품,26,기타 비금속광물제품,8,비금속광물제품
154,154,아스콘 및 아스팔트 제품,55,기타 비금속광물제품,26,기타 비금속광물제품,8,비금속광물제품
155,155,석면 및 암면,55,기타 비금속광물제품,26,기타 비금속광물제품,8,비금속광물제품
156,156,기타 비금속광물제품,55,기타 비금속광물제품,26,기타 비금속광물제품,8,비금속광물제품
157,157,선철,56,선철 및 조강,27,철강1차제품,9,1차 금속제품
158,158,합금철,56,선철 및 조강,27,철강1차제품,9,1차 금속제품
159,159,조강,56,선철 및 조강,27,철강1차제품,9,1차 금속제품
160,160,철근 및 봉강,57,열간압연강재,27,철강1차제품,9,1차 금속제품
161,161,형강,57,열간압연강재,27,철강1차제품,9,1차 금속제품
162,162,선재 및 궤조,57,열간압연강재,27,철강1차제품,9,1차 금속제품
163,163,열연 후판 및 강판,57,열간압연강재,27,철강1차제품,9,1차 금속제품
164,164,강선,57,열간압연강재,27,철강1차제품,9,1차 금속제품
165,165,철강관,57,열간압연강재,27,철강1차제품,9,1차 금속제품
166,166,냉간압연강재,58,냉간압연강재,28,철강가공제품,9,1차 금속제품
167,167,표면처리강재,59,기타 철강1차제품,28,철강가공제품,9,1차 금속제품
168,168,기타 철강1차제품,59,기타 철강1차제품,28,철강가공제품,9,1차 금속제품
169,169,"동 제련, 정련 및 합금제품",60,비철금속괴,29,비철금속괴 및 1차제품,9,1차 금속제품
170,170,"알루미늄 제련, 정련 및 합금제품",60,비철금속괴,29,비철금속괴 및 1차제품,9,1차 금속제품
171,171,"연 및 아연 제련, 정련 및 합금제품",60,비철금속괴,29,비철금속괴 및 1차제품,9,1차 금속제품
172,172,금은괴,60,비철금속괴,29,비철금속괴 및 1차제품,9,1차 금속제품
173,173,"기타 비철금속 제련, 정련 및 합금제품",60,비철금속괴,29,비철금속괴 및 1차제품,9,1차 금속제품
174,174,동 1차제품,61,비철금속 1차제품,29,비철금속괴 및 1차제품,9,1차 금속제품
175,175,알루미늄 1차제품,61,비철금속 1차제품,29,비철금속괴 및 1차제품,9,1차 금속제품
176,176,기타 비철금속 1차제품,61,비철금속 1차제품,29,비철금속괴 및 1차제품,9,1차 금속제품
177,177,금속 주물,62,금속 주물,30,금속 주물,9,1차 금속제품
178,178,건축용 금속제품,63,구조용 금속제품 및 탱크,31,금속제품,10,금속제품
179,179,구조물용 금속제품,63,구조용 금속제품 및 탱크,31,금속제품,10,금속제품
180,180,금속제 탱크 및 압력용기,63,구조용 금속제품 및 탱크,31,금속제품,10,금속제품
181,181,산업용 보일러 및 증기발생기,63,구조용 금속제품 및 탱크,31,금속제품,10,금속제품
182,182,금속 단조 및 야금제품,64,"금속 단조, 야금 및",31,금속제품,10,금속제품
183,183,금속압형제품,64,"금속 단조, 야금 및",31,금속제품,10,금속제품
184,184,금속처리,65,금속처리 가공품,31,금속제품,10,금속제품
185,185,금속처리 가공품,65,금속처리 가공품,31,금속제품,10,금속제품
186,186,가정용 금속제품,66,기타 금속제품,31,금속제품,10,금속제품
187,187,부착용 금속제품,66,기타 금속제품,31,금속제품,10,금속제품
188,188,공구류,66,기타 금속제품,31,금속제품,10,금속제품
189,189,나사 및 철선 제품,66,기타 금속제품,31,금속제품,10,금속제품
