basecode_row,sector_row,basecode_column,sector_row,sector_ind,sector_name,Va_index,Va_name,Va_dict,FD_index,FD_name,FD_dict
26,MinMet,26,MinMet,,,,,,,,
27,MinMet,27,MinMet,,,,,,,,
28,MinMet,28,MinMet,,,,,,,,
29,MinMet,29,MinMet,,,,,,,,
30,MinMet,30,MinMet,,,,,,,,
31,MinMet,31,MinMet,,,,,,,,
32,Macheqp,32,Macheqp,,,,,,,,
33,Macheqp,33,Macheqp,,,,,,,,
34,Macheqp,34,Macheqp,,,,,,,,
35,Macheqp,35,Macheqp,,,,,,,,
36,Macheqp,36,Macheqp,,,,,,,,
37,Macheqp,37,Macheqp,,,,,,,,
38,EleEqp,38,EleEqp,,,,,,,,
39,EleEqp,39,EleEqp,,,,,,,,
40,Macheqp,40,Macheqp,,,,,,,,
41,Macheqp,41,Macheqp,,,,,,,,
42,Vehicle,42,Vehicle,,,,,,,,
43,Vehicle,43,Vehicle,,,,,,,,
44,Vehicle,44,Vehicle,,,,,,,,
45,Manufac,45,Manufac,,,,,,,,
46,Electri,46,Electri,,,,,,,,
47,GasWat,47,GasWat,,,,,,,,
48,GasWat,48,GasWat,,,,,,,,
49,PubSer,49,PubSer,,,,,,,,
50,PubSer,50,PubSer,,,,,,,,
51,Const,51,Const,,,,,,,,
52,Const,52,Const,,,,,,,,
53,TradSer,53,TradSer,,,,,,,,
54,Transp,54,Transp,,,,,,,,
55,Transp,55,Transp,,,,,,,,
56,Transp,56,Transp,,,,,,,,
57,Transp,57,Transp,,,,,,,,
58,TradSer,58,TradSer,,,,,,,,
59,TradSer,59,TradSer,,,,,,,,
60,BusiSer,60,BusiSer,,,,,,,,
61,BusiSer,61,BusiSer,,,,,,,,
62,BusiSer,62,BusiSer,,,,,,,,
63,BusiSer,63,BusiSer,,,,,,,,
64,BusiSer,64,BusiSer,,,,,,,,
65,BusiSer,65,BusiSer,,,,,,,,
66,BusiSer,66,BusiSer,,,,,,,,
67,BusiSer,67,BusiSer,,,,,,,,
68,BusiSer,68,BusiSer,,,,,,,,
69,BusiSer,69,BusiSer,,,,,,,,
70,BusiSer,70,BusiSer,,,,,,,,
71,PubSer,71,PubSer,,,,,,,,
72,BusiSer,72,BusiSer,,,,,,,,
73,BusiSer,73,BusiSer,,,,,,,,
74,BusiSer,74,BusiSer,,,,,,,,
75,PubSer,75,PubSer,,,,,,,,
76,PubSer,76,PubSer,,,,,,,,
77,PubSer,77,PubSer,,,,,,,,
78,PubSer,78,PubSer,,,,,,,,
79,PubSer,79,PubSer,,,,,,,,
80,BusiSer,80,BusiSer,,,,,,,,
81,BusiSer,81,BusiSer,,,,,,,,
82,BusiSer,82,BusiSer,,,,,,,,
83,idinput1,83,Dint,,,,,,,,
84,PTAXin,84,Final_Pc,,,,,,,,
85,Resin,85,Final_Gc,,,,,,,,
86,idinput2,86,Final_Pk,,,,,,,,
87,labor,87,Final_Gk,,,,,,,,
88,surplus,88,Final_St,,,,,,,,
89,dep,89,Gold,,,,,,,,
90,PTAXetc,90,Final_Ex,,,,,,,,
91,VA,91,Final_Tot,,,,,,,,
92,Tinput,92,Dtotal,,,,,,,,
,,93,Qtotal,,,,,,,,
,,94,Qself,,,,,,,,
,,95,Imp,,,,,,,,
,,96,Resout,,,,,,,,
,,97,Stotal_b,,,,,,,,
,,98,PTAXd,,,,,,,,
,,99,PTAXim,,,,,,,,
,,100,Psub,,,,,,,,
,,101,Cmargin,,,,,,,,
,,102,Tmargin,,,,,,,,
,,103,Contotal,,,,,,,,
,,104,Stotal_p,,,,,,,,
