,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104
17,0,1662,0,2800,198,0,441,294134,14143,8343,1075905,86407,60180,369178,30554,1468434,24528600,23732295,2389923,1678916,724095,6746173,2304794,875085,780422,270614,289281,69934,205619,23205,1031586,131028,97072,591884,1275948,648839,261312,6078,39822,41483,322979,200377,74246,15549,351909,1243677,28886,139279,52788,124832,40297,32812,6235,3813,4427,211,29561,2665,0,0,327,1358,7615,722,0,0,0,0,353,141,629280,133,25513,29968,13543,35759,854529,806,1722,2414,266,32707,76468086,11985,0,0,0,-1097485,0,27189244,26103744,102571830,62182535,17085006,22631183,6735,101905459,142046,524325,0,0,0,666371,102571830
18,0,0,0,0,0,0,0,5797,223,0,1454314,194454,187845,309433,16557,16413,159061,622546,184130,10075,2173,1309932,13917813,993963,62833,100054,27547,7636,12008,5088,206571,85649,39411,1443365,708024,200733,671043,21701,193782,286829,190268,294144,95260,13823,581808,108,0,0,0,0,193881,52872,0,0,0,647,0,0,0,0,0,0,0,6249,0,0,0,0,0,0,119254,0,531,0,19,63,4249,0,0,0,0,5622,25015801,0,0,0,0,-556714,0,18594259,18037545,43053346,37336895,0,4392975,1141348,42871218,15102,167026,0,0,0,182128,43053346
19,0,0,0,0,0,0,0,0,0,0,1916127,7398,0,16260,0,0,428,0,1249,0,0,12863,168101,4574,0,781,0,0,0,0,0,0,0,12235,0,0,0,0,0,0,6602,9465,0,403,85161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4591,0,0,0,6,0,0,0,0,0,0,0,2246244,0,0,0,0,163718,0,2679631,2843349,5089593,4438643,0,635142,0,5073785,1419,14389,0,0,0,15808,5089593
20,0,101541,6,18292,13989,409,117,331042,19918,954,485,104,364,3166,223,5683,4613,533,86,2013139,32865,25728,1008,166,139,1101,1019,647,678,260,8116,1755,473,952,429,6844,189,50,506,260,14460,9192,605,164,5398,5585,269,785,16308,25576,2262,2154,15173,3264,2751,43351,21998,14654,8307,440,1320,7420,599,1216,18205,51088,19268,0,569,493,249800,2553,8849,31770,111830,61386,13265438,34133,7727,11165,35466,15078,16725918,1947439,0,0,0,267357,0,1498079,3712875,20438793,13789958,0,5181582,0,18971540,956852,510401,0,0,0,1467253,20438793
21,2538270,27783,74995,95,40435,0,0,25259,22,0,255,2983,493,963,0,22,208150,20260,191,16560,672568,51400,756,28,9043,0,252,450,50,0,4018,0,40,1468,11301,37382,1011,0,0,0,41,1201,0,0,7113,0,0,0,21763,26612,32198,721,0,0,107,16,678,13143,0,0,0,0,0,0,0,0,0,0,0,0,47772,0,600,33037,30720,5173,164900,2639,5879,171636,871,0,4313323,25287,0,0,0,78529,0,613736,717552,5030875,3546715,0,1351557,0,4898272,21823,110780,0,0,0,132603,5030875
22,158,1821,139,35050,1358,4256,91303,268676,24073,39133,404805,127209,128082,615236,476173,610512,826855,848400,92499,67048,33183,2079626,1743763,388885,135789,353310,244169,591180,85002,24878,1752296,155666,290823,412612,3262757,2053697,716407,91012,96742,102149,103674,528943,475737,49033,717899,143448,18579,86884,47687,172721,1407359,347486,224015,369083,50885,11528,143278,421460,14058,30889,17795,29228,294846,90889,15313,29188,11942,0,13353,2077,700015,22885,285591,1203151,53749,194193,355451,102858,60374,119873,25884,1425581,29695614,5619171,0,0,0,-573922,0,6099134,11144383,40839997,26950517,0,12607904,144224,39702645,585715,551637,0,0,0,1137352,40839997
23,488476,50851,6939,156498,2653,3072,2724,1261730,475659,18140,682961,158686,45127,233607,204339,82737,225117,100855,13923,285264,68475,1233100,5306438,416582,260721,78607,51795,144581,47701,4566,1351505,1211207,625205,2552849,1251955,3577162,1122598,134765,1475246,1057449,1291203,6886695,366880,231320,1625060,262563,3721,1784,71880,183160,4704440,729558,2579866,100363,7871,5842,155849,328474,8626,8999,11365,24810,19414,8465,25335,21621,8669,0,6447,13851,107379,27263,73241,78539,16423,107868,22374,29697,5445,11581,15907,330857,46992570,581848,0,0,0,424937,0,6287230,7294015,54286585,45738458,0,7967563,0,53706021,267058,313506,0,0,0,580564,54286585
24,5078,4386,157,12497,1144,1982,12631,29836,685,1093,80286,121505,3663,18761,11829,38502,31525,33815,120,13169,544,11341,76329,436014,72768,88048,104173,11360,5063,7434,334196,610650,319083,373123,33877,160742,45152,10722,110181,100930,89597,2592064,319821,128673,180284,54841,2095,247,18001,67687,131419,126400,65352,916072,27684,15582,172478,38177,742,0,0,5170,3641,1411,4339,5012,3140,0,1236,3459,23160,218,5993,52858,2767,6530,201142,1236,2227,4883,2844,649336,9262212,89962,0,0,0,-11768,0,4648855,4727049,13989261,12559002,0,1268389,53814,13881205,48267,59789,0,0,0,108056,13989261
25,0,16583,0,496,762,0,0,116059,370200,0,3972,0,1424,156,527,3083,17584,21000,0,237321,6724,373892,70991,16547,3031983,12151,3487,1130,2227,549,79883,48198,67457,445248,194374,10876106,231468,3251,246200,67818,205168,526537,199523,71987,265696,1026,0,0,818,5582,1247807,166191,70840,1912,1638,97,21440,75785,7788,202,3544,5135,155,1708,2323,5917,8228,0,4464,259,46975,2956,11973,7275,2345,59572,9979,4588,2872,4321,7468,62528,19693473,87876,0,0,0,503773,0,770938,1362587,21056060,14314455,0,6254020,237137,20805612,33833,216615,0,0,0,250448,21056060
26,1686,1231,71,537,459,49,546,2624,0,0,3231,5476,3377,76258,2268,99146,73431,13126,1197,306,1839,34291,21797,608,240352,3192805,968384,261406,99814,88522,198452,174477,22996,402225,167172,325396,34507,6149,26055,64897,9512,168109,49612,16389,85977,53133,0,24706,11080,170949,9885372,6798796,12508,1072,0,7763,2483,96512,0,0,0,0,0,0,0,0,0,0,0,0,91400,0,11847,0,13325,6420,8909,2003,0,1393,3013,7970,24157416,323377,0,0,0,11264,0,1025817,1360458,25517874,21580438,0,3093914,322801,24997153,274984,245737,0,0,0,520721,25517874
